"","total_cup_points","variety","country_of_origin","aroma","flavor","aftertaste","body","balance"
"1",90.58,NA,"Ethiopia",8.67,8.83,8.67,8.5,8.42
"2",89.92,"Other","Ethiopia",8.75,8.67,8.5,8.42,8.42
"3",89.75,"Bourbon","Guatemala",8.42,8.5,8.42,8.33,8.42
"4",89,NA,"Ethiopia",8.17,8.58,8.42,8.5,8.25
"5",88.83,"Other","Ethiopia",8.25,8.5,8.25,8.42,8.33
"6",88.83,NA,"Brazil",8.58,8.42,8.42,8.25,8.33
"7",88.75,"Other","Peru",8.42,8.5,8.33,8.25,8.25
"8",88.67,NA,"Ethiopia",8.25,8.33,8.5,8.33,8.5
"9",88.42,NA,"Ethiopia",8.67,8.67,8.58,8.33,8.42
"10",88.25,"Other","Ethiopia",8.08,8.58,8.5,7.67,8.42
"11",88.08,NA,"Ethiopia",8.17,8.67,8.25,7.75,8.17
"12",87.92,"Other","United States",8.25,8.42,8.17,8.08,8.17
"13",87.92,"Other","United States",8.08,8.67,8.33,8,8.08
"14",87.92,NA,"United States (Hawaii)",8.33,8.42,8.08,8.25,8
"15",87.83,NA,"Ethiopia",8.25,8.33,8.5,8.58,8.75
"16",87.58,"Other","United States",8,8.5,8.58,8.17,8
"17",87.42,NA,"Indonesia",8.33,8.25,7.83,8.5,8.42
"18",87.33,NA,"Ethiopia",8.17,8.33,8.25,8.42,8.33
"19",87.25,"Catimor","China",8.42,8.25,8.08,7.92,8
"20",87.25,"Ethiopian Yirgacheffe","Ethiopia",8.17,8.17,8,8.08,8.33
"21",87.25,"Other","United States",8,8.25,8.08,8.25,8
"22",87.17,"Caturra","Costa Rica",8.08,8.25,8,8,8.33
"23",87.17,"Other","Mexico",8.17,8.25,8.17,7.83,8.17
"24",87.08,"Other","United States",8.25,8.33,8.17,7.83,8.17
"25",87.08,NA,"Ethiopia",8.42,8.17,7.92,8.33,8
"26",86.92,"Bourbon","Brazil",8.5,8.5,8,8,8
"27",86.92,NA,"Ethiopia",7.83,8.25,8.08,8.17,8.17
"28",86.83,"SL14","Uganda",8.42,8.17,8.17,7.83,7.92
"29",86.67,"Caturra","Honduras",8.17,8.08,8.08,8.08,8
"30",86.58,"Sumatra","Taiwan",8,8,8,8,8.17
"31",86.58,NA,"Nicaragua",7.92,8.25,8,8,8.08
"32",86.5,NA,"Tanzania, United Republic Of",8.42,8.17,8.17,7.58,8
"33",86.42,"Bourbon","Brazil",8.5,8.17,8,8,8
"34",86.33,"Caturra","Costa Rica",8.17,7.83,8,7.83,8
"35",86.25,NA,"Ethiopia",8,8.08,7.92,8.08,8.08
"36",86.25,"SL34","Kenya",8.08,8,8,7.92,7.92
"37",86.25,"Hawaiian Kona","United States (Hawaii)",8.08,8.17,8,7.92,7.83
"38",86.25,NA,"United States (Hawaii)",8.25,8.42,8.08,7.67,7.83
"39",86.25,NA,"Ethiopia",7.92,7.75,8.08,8.08,8.17
"40",86.17,"Other","United States",7.67,8.17,8,8.17,8.08
"41",86.17,"Caturra","Thailand",7.83,8.33,7.83,7.58,7.92
"42",86.17,"Yellow Bourbon","Brazil",8.17,7.92,7.92,8.33,8
"43",86.17,"Yellow Bourbon","Brazil",8.42,7.92,8,7.92,8
"44",86.08,"Bourbon","Taiwan",8.08,8.17,7.75,7.75,7.83
"45",86.08,"SL28","Kenya",8.08,8.08,8,7.83,8.08
"46",86.08,"Bourbon","Brazil",8.33,8,8,7.75,8
"47",86,NA,"Uganda",8.08,8.08,7.83,8.08,7.92
"48",86,"Caturra","Colombia",7.75,7.92,7.83,8.08,8.17
"49",86,"SL28","Kenya",7.92,8.17,7.83,7.5,7.92
"50",86,"Other","Uganda",8.25,8,7.83,8,7.92
"51",86,NA,"Ethiopia",7.75,8.08,8,8,8
"52",86,NA,"United States (Hawaii)",8.33,8.17,7.75,7.75,7.83
"53",85.92,"Bourbon","Guatemala",7.92,8.08,7.92,8.08,7.83
"54",85.92,"SL14","Uganda",8.17,8.17,7.92,7.83,7.75
"55",85.92,"Caturra","Colombia",8,8,8,7.83,8
"56",85.83,"Gesha","Panama",8,8,7.92,7.83,8
"57",85.83,NA,"Ethiopia",7.83,8.08,7.92,8,7.92
"58",85.83,"Bourbon","Guatemala",7.83,8,8,7.83,8
"59",85.83,"Catuai","Guatemala",8,8,7.83,7.83,7.83
"60",85.75,"Caturra","Ethiopia",7.83,8,7.83,7.92,8
"61",85.75,NA,"Peru",8,8,8,7.92,7.75
"62",85.75,NA,"Papua New Guinea",8.33,8.42,7.83,8,8.25
"63",85.58,"Bourbon","El Salvador",7.92,8.17,8,7.75,7.83
"64",85.58,"Bourbon","El Salvador",7.83,8,8,7.92,8.17
"65",85.58,"Hawaiian Kona","United States (Hawaii)",7.83,8,7.92,8.08,8
"66",85.5,"Caturra","Panama",8,7.75,7.83,7.67,8.58
"67",85.5,"SL28","Kenya",7.92,7.92,7.83,7.83,7.92
"68",85.5,"Other","Ethiopia",7.83,8,7.83,7.83,8.08
"69",85.5,"SL14","Uganda",8.33,7.92,7.67,7.67,7.92
"70",85.5,"Bourbon","Guatemala",8,7.83,7.67,7.83,8
"71",85.42,NA,"Ethiopia",7.75,7.83,7.83,7.92,7.83
"72",85.42,"SL14","Uganda",8.08,8,7.83,8,7.83
"73",85.42,"Hawaiian Kona","United States (Hawaii)",7.92,7.92,7.75,7.75,7.92
"74",85.42,"Bourbon","Brazil",8,8,8,7.75,8
"75",85.42,NA,"El Salvador",8.08,7.83,7.83,7.83,7.83
"76",85.33,"Catimor","China",8,8,8,7.83,7.75
"77",85.33,"Pacamara","Guatemala",7.83,7.75,7.83,7.83,8.58
"78",85.33,"Caturra","Costa Rica",7.92,8.08,8,8,8.08
"79",85.33,"Caturra","Costa Rica",8,7.58,7.58,8.08,8.5
"80",85.33,"SL34","Kenya",7.83,8.08,7.75,7.92,7.75
"81",85.33,"SL34","Kenya",8,7.92,7.92,7.83,7.75
"82",85.33,NA,"Ethiopia",7.83,7.83,7.92,7.75,7.83
"83",85.33,"Typica","Ethiopia",7.92,7.83,7.75,7.75,7.75
"84",85.25,"Bourbon","Guatemala",8,7.92,7.75,7.92,7.83
"85",85.25,"Caturra","Colombia",8.17,7.92,7.83,7.58,7.83
"86",85.25,"Caturra","Colombia",7.58,8.08,7.92,8,7.92
"87",85.17,"Sumatra Lintong","Indonesia",7.75,7.83,7.67,8.08,7.83
"88",85.17,"Caturra","Guatemala",8.25,8,7.67,7.75,7.67
"89",85.08,"Other","Ethiopia",7.75,8,7.58,8,7.92
"90",85.08,"Caturra","Colombia",8.17,7.83,7.58,8,7.75
"91",85.08,NA,"Ethiopia",8.42,8,7.42,7.92,7.92
"92",85.08,"Hawaiian Kona","United States (Hawaii)",7.58,7.83,7.83,7.83,8.17
"93",85.08,"Caturra","Colombia",7.83,8,7.75,7.83,7.83
"94",85.08,NA,"United States (Hawaii)",8.08,8.17,7.92,8.08,8
"95",85.08,NA,"Ethiopia",7.67,8,7.83,7.92,7.83
"96",85.08,NA,"United States (Hawaii)",7.5,7.92,8.25,7.92,7.75
"97",85,"SL14","Uganda",8.17,7.92,7.75,7.67,7.75
"98",85,"Caturra","Colombia",8,7.92,7.75,7.75,7.83
"99",85,"Catuai","Costa Rica",7.83,8,7.58,7.92,7.83
"100",85,"Typica","Mexico",7.83,8,7.83,7.67,7.83
"101",85,NA,"Kenya",8.17,7.83,7.92,7.67,7.83
"102",85,"SL34","Kenya",7.75,7.83,7.75,8,7.75
"103",85,"Mundo Novo","Brazil",8,8,7.83,7.67,7.67
"104",85,"Pacamara","Mexico",7.92,8.17,7.75,7.42,7.83
"105",85,NA,"United States (Hawaii)",7.75,7.92,7.75,8,8
"106",85,NA,"Guatemala",7.83,8.08,7.67,7.75,7.67
"107",84.92,"Caturra","Colombia",7.92,7.92,7.67,7.92,7.83
"108",84.92,"Caturra","Colombia",7.92,7.83,7.75,7.75,8
"109",84.92,"Typica","Taiwan",7.67,7.83,8,8,7.92
"110",84.92,"Other","Tanzania, United Republic Of",8,7.83,7.83,7.75,7.75
"111",84.92,"Caturra","Colombia",7.75,7.92,7.83,7.75,8
"112",84.92,"Typica","Mexico",7.75,8,7.75,7.5,7.92
"113",84.92,"Bourbon","Brazil",8,7.92,7.75,8,7.75
"114",84.92,"Catuai","Brazil",8,8,7.75,7.5,7.75
"115",84.92,NA,"Kenya",8,7.67,7.83,7.92,7.75
"116",84.83,"Typica","Taiwan",7.92,7.58,7.83,7.83,7.83
"117",84.83,"SL14","Uganda",7.75,7.92,7.67,8.25,7.75
"118",84.83,"Hawaiian Kona","United States (Hawaii)",7.67,7.75,7.75,7.83,8
"119",84.83,NA,"Ethiopia",7.75,7.92,7.83,7.75,7.67
"120",84.83,NA,"Ethiopia",7.42,7.92,7.92,7.83,7.83
"121",84.75,"Caturra","Thailand",7.75,7.75,7.75,8,7.75
"122",84.75,"SL34","Kenya",7.92,7.83,7.58,7.75,7.83
"123",84.75,"Catuai","Honduras",7.83,7.75,8,7.67,7.67
"124",84.75,NA,"El Salvador",7.75,8,8,7.67,7.92
"125",84.75,NA,"Nicaragua",7.83,7.58,7.58,7.75,7.67
"126",84.67,"Bourbon","El Salvador",7.83,7.83,7.5,7.83,7.67
"127",84.67,"Java","Indonesia",7.92,7.83,7.75,7.75,7.75
"128",84.67,"Mundo Novo","Japan",7.75,7.75,7.75,8.08,7.83
"129",84.67,"Catuai","Costa Rica",8.08,7.75,7.67,7.5,7.92
"130",84.67,"Bourbon","Guatemala",7.75,7.83,7.58,7.92,7.75
"131",84.67,"Caturra","Costa Rica",8.17,8,7.83,7.83,7.75
"132",84.67,"Ethiopian Yirgacheffe","Ethiopia",8.08,7.83,7.75,7.58,7.67
"133",84.67,"Other","Costa Rica",7.67,7.58,7.75,7.67,8.58
"134",84.67,"Catuai","Costa Rica",8,7.58,7.83,7.75,7.75
"135",84.67,NA,"Costa Rica",8.08,7.83,7.75,7.92,8
"136",84.67,"Typica","Taiwan",8,7.92,7.75,7.75,7.75
